route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
600069,6,SB69,,,3,,000000,FFFFFF
600540,6,540,,,3,,000000,FFFFFF
600600,6,600,,,3,,000000,FFFFFF
600601,6,601,,,3,,000000,FFFFFF
600602,6,602,,,3,,000000,FFFFFF
600603,6,603,,,3,,000000,FFFFFF
600604,6,604,,,3,,000000,FFFFFF
600605,6,605,,,3,,000000,FFFFFF
600606,6,606,,,3,,000000,FFFFFF
600607,6,607,,,3,,000000,FFFFFF
600608,6,608,,,3,,000000,FFFFFF
600609,6,609,,,3,,000000,FFFFFF
600610,6,610,,,3,,000000,FFFFFF
600611,6,611,,,3,,000000,FFFFFF
600612,6,612,,,3,,000000,FFFFFF
600613,6,613,,,3,,000000,FFFFFF
600614,6,614,,,3,,000000,FFFFFF
600630,6,630,,,3,,000000,FFFFFF
600631,6,631,,,3,,000000,FFFFFF
600632,6,632,,,3,,000000,FFFFFF
600633,6,633,,,3,,000000,FFFFFF
600634,6,634,,,3,,000000,FFFFFF
600635,6,635,,,3,,000000,FFFFFF
600636,6,636,,,3,,000000,FFFFFF
600637,6,637,,,3,,000000,FFFFFF
600638,6,638,,,3,,000000,FFFFFF
600639,6,639,,,3,,000000,FFFFFF
600640,6,640,,,3,,000000,FFFFFF
600641,6,E,,,3,,000000,FFFFFF
600642,6,E,,,3,,000000,FFFFFF
600666,6,BE66,,,3,,000000,FFFFFF
600681,6,N1,,,3,,000000,FFFFFF
600682,6,N2,,,3,,000000,FFFFFF
600683,6,N3,,,3,,000000,FFFFFF
600684,6,N4,,,3,,000000,FFFFFF
600685,6,N5,,,3,,000000,FFFFFF
600686,6,N6,,,3,,000000,FFFFFF
600687,6,N7,,,3,,000000,FFFFFF
600688,6,N8,,,3,,000000,FFFFFF
600689,6,N9,,,3,,000000,FFFFFF
600690,6,N10,,,3,,000000,FFFFFF
800051,8,SB51,,,3,,000000,FFFFFF
800052,8,SB52,,,3,,000000,FFFFFF
800053,8,SB53,,,3,,000000,FFFFFF
800054,8,SB54,,,3,,000000,FFFFFF
800056,8,SB56,,,3,,000000,FFFFFF
800163,8,163,,,3,,000000,FFFFFF
800501,8,501,,,3,,000000,FFFFFF
800502,8,502,,,3,,000000,FFFFFF
800503,8,503,,,3,,000000,FFFFFF
800504,8,504,,,3,,000000,FFFFFF
800505,8,505,,,3,,000000,FFFFFF
800506,8,506,,,3,,000000,FFFFFF
800507,8,507,,,3,,000000,FFFFFF
800508,8,508,,,3,,000000,FFFFFF
800510,8,510,,,3,,000000,FFFFFF
800511,8,511,,,3,,000000,FFFFFF
800512,8,512,,,3,,000000,FFFFFF
800513,8,513,,,3,,000000,FFFFFF
800515,8,515,,,3,,000000,FFFFFF
800516,8,516,,,3,,000000,FFFFFF
800517,8,517,,,3,,000000,FFFFFF
800518,8,518,,,3,,000000,FFFFFF
800519,8,BB W,,,3,,000000,FFFFFF
800520,8,520,,,3,,000000,FFFFFF
800521,8,521,,,3,,000000,FFFFFF
800522,8,522,,,3,,000000,FFFFFF
800523,8,523,,,3,,000000,FFFFFF
800524,8,524,,,3,,000000,FFFFFF
800525,8,525,,,3,,000000,FFFFFF
800527,8,527,,,3,,000000,FFFFFF
800529,8,529,,,3,,000000,FFFFFF
800531,8,531,,,3,,000000,FFFFFF
800532,8,532,,,3,,000000,FFFFFF
800533,8,533,,,3,,000000,FFFFFF
800535,8,535,,,3,,000000,FFFFFF
800536,8,536,,,3,,000000,FFFFFF
800537,8,537,,,3,,000000,FFFFFF
800539,8,539,,,3,,000000,FFFFFF
800540,8,540,,,3,,000000,FFFFFF
800541,8,541,,,3,,000000,FFFFFF
800542,8,542,,,3,,000000,FFFFFF
800543,8,543,,,3,,000000,FFFFFF
800544,8,544,,,3,,000000,FFFFFF
800545,8,545,,,3,,000000,FFFFFF
800546,8,546,,,3,,000000,FFFFFF
800547,8,547,,,3,,000000,FFFFFF
800548,8,548,,,3,,000000,FFFFFF
800549,8,549,,,3,,000000,FFFFFF
800550,8,550,,,3,,000000,FFFFFF
800551,8,551,,,3,,000000,FFFFFF
800552,8,552,,,3,,000000,FFFFFF
800553,8,553,,,3,,000000,FFFFFF
800554,8,554,,,3,,000000,FFFFFF
800555,8,555,,,3,,000000,FFFFFF
800556,8,556,,,3,,000000,FFFFFF
800557,8,557,,,3,,000000,FFFFFF
800558,8,558,,,3,,000000,FFFFFF
800559,8,559,,,3,,000000,FFFFFF
800560,8,560,,,3,,000000,FFFFFF
800561,8,561,,,3,,000000,FFFFFF
800564,8,564,,,3,,000000,FFFFFF
800565,8,565,,,3,,000000,FFFFFF
800566,8,566,,,3,,000000,FFFFFF
800567,8,567,,,3,,000000,FFFFFF
800570,8,570,,,3,,000000,FFFFFF
800571,8,571,,,3,,000000,FFFFFF
800573,8,573,,,3,,000000,FFFFFF
800576,8,576,,,3,,000000,FFFFFF
800577,8,577,,,3,,000000,FFFFFF
800578,8,578,,,3,,000000,FFFFFF
800579,8,579,,,3,,000000,FFFFFF
800589,8,PB,,,3,,000000,FFFFFF
800590,8,590,,,3,,000000,FFFFFF
800592,8,592,,,3,,000000,FFFFFF
800593,8,593,,,3,,000000,FFFFFF
800594,8,594,,,3,,000000,FFFFFF
800596,8,596,,,3,,000000,FFFFFF
800597,8,597,,,3,,000000,FFFFFF
800598,8,598,,,3,,000000,FFFFFF
800599,8,599,,,3,,000000,FFFFFF
1100273,11,BF,,,3,,000000,FFFFFF
1100301,11,301,,,3,,000000,FFFFFF
1100302,11,302,,,3,,000000,FFFFFF
1100303,11,303,,,3,,000000,FFFFFF
1100304,11,304,,,3,,000000,FFFFFF
1100306,11,306,,,3,,000000,FFFFFF
1100307,11,307,,,3,,000000,FFFFFF
1100308,11,308,,,3,,000000,FFFFFF
1100310,11,310,,,3,,000000,FFFFFF
1100311,11,311,,,3,,000000,FFFFFF
1100312,11,312,,,3,,000000,FFFFFF
1100313,11,313,,,3,,000000,FFFFFF
1100314,11,314,,,3,,000000,FFFFFF
1100315,11,315,,,3,,000000,FFFFFF
1100316,11,316,,,3,,000000,FFFFFF
1100317,11,317,,,3,,000000,FFFFFF
1100318,11,318,,,3,,000000,FFFFFF
1100319,11,319,,,3,,000000,FFFFFF
1100320,11,320,,,3,,000000,FFFFFF
1100321,11,321,,,3,,000000,FFFFFF
1100323,11,323,,,3,,000000,FFFFFF
1100324,11,324,,,3,,000000,FFFFFF
1100325,11,325,,,3,,000000,FFFFFF
1100331,11,331,,,3,,000000,FFFFFF
1100332,11,332,,,3,,000000,FFFFFF
1100333,11,333,,,3,,000000,FFFFFF
1100334,11,334,,,3,,000000,FFFFFF
1100335,11,335,,,3,,000000,FFFFFF
1100336,11,336,,,3,,000000,FFFFFF
1100337,11,337,,,3,,000000,FFFFFF
1100338,11,338,,,3,,000000,FFFFFF
1100339,11,339,,,3,,000000,FFFFFF
1100340,11,340,,,3,,000000,FFFFFF
1100342,11,342,,,3,,000000,FFFFFF
1100343,11,343,,,3,,000000,FFFFFF
1100344,11,344,,,3,,000000,FFFFFF
1100345,11,345,,,3,,000000,FFFFFF
1100346,11,346,,,3,,000000,FFFFFF
1100347,11,347,,,3,,000000,FFFFFF
1100348,11,348,,,3,,000000,FFFFFF
1100349,11,349,,,3,,000000,FFFFFF
1100361,11,361,,,3,,000000,FFFFFF
1100362,11,362,,,3,,000000,FFFFFF
1100363,11,363,,,3,,000000,FFFFFF
1100364,11,364,,,3,,000000,FFFFFF
1100365,11,365,,,3,,000000,FFFFFF
1100366,11,366,,,3,,000000,FFFFFF
1100375,11,336R,,,3,,000000,FFFFFF
1100398,11,398,,,3,,000000,FFFFFF
1100426,11,426,,,3,,000000,FFFFFF
1100427,11,427,,,3,,000000,FFFFFF
1100429,11,429,,,3,,000000,FFFFFF
1100626,11,626,,,3,,000000,FFFFFF
1100671,11,671,,,3,,000000,FFFFFF
1200740,12,740,,,3,,000000,FFFFFF
1200741,12,741,,,3,,000000,FFFFFF
1200745,12,745,,,3,,000000,FFFFFF
1200747,12,747,,,3,,000000,FFFFFF
1200749,12,749,,,3,,000000,FFFFFF
1200750,12,750,,,3,,000000,FFFFFF
1200751,12,751,,,3,,000000,FFFFFF
1200752,12,752,,,3,,000000,FFFFFF
1200753,12,753,,,3,,000000,FFFFFF
1200800,12,800,,,3,,000000,FFFFFF
1200812,12,812,,,3,,000000,FFFFFF
1200813,12,813,,,3,,000000,FFFFFF
1200817,12,817,,,3,,000000,FFFFFF
1200818,12,818,,,3,,000000,FFFFFF
1200842,12,842,,,3,,000000,FFFFFF
1200843,12,843,,,3,,000000,FFFFFF
1200845,12,845,,,3,,000000,FFFFFF
1200855,12,855,,,3,,000000,FFFFFF
1200856,12,856,,,3,,000000,FFFFFF
1200857,12,857,,,3,,000000,FFFFFF
1200858,12,858,,,3,,000000,FFFFFF
1200859,12,859,,,3,,000000,FFFFFF
1200880,12,880,,,3,,000000,FFFFFF
1200881,12,881,,,3,,000000,FFFFFF
